vessel_id,received_time_utc,latitude,longitude
5291,43:07.0,30.49617,123.83863
5091,59:12.0,25.91658,-79.50869
5291,37:32.0,5.700383,84.338083
5091,52:52.0,38.40184,-74.64807
4378,09:00.0,-29.15098,32.32773
5091,03:23.0,25.90536,-79.51424
4378,05:35.0,25.35277,56.54183
5091,58:57.0,38.96686,-75.1997
5091,57:35.0,25.99315,-79.46239
5091,33:20.0,16.54136,-18.34592
5091,09:04.0,25.89009,-79.52165
4378,24:00.0,-29.19933,32.2995
5091,44:18.0,18.77881,-93.15383
5091,15:05.0,36.16512,-5.418188
5291,37:47.0,30.480433,123.8415
4378,58:02.0,-27.017767,34.12425
5091,36:51.0,16.55385,-18.34529
4378,12:26.0,25.35272,56.54183
5091,10:45.0,26.02743,-79.44356
5091,39:12.0,16.56233,-18.3448
5091,13:53.0,25.87716,-79.52798
4378,17:16.0,25.35262,56.54185
5091,13:56.0,38.96683,-75.1996
5091,16:26.0,26.04219,-79.43555
5091,17:33.0,25.86744,-79.53282
5091,57:01.0,38.3931,-74.632328
5291,09:50.0,24.21958,122.6718
4378,17:22.0,-27.07015,34.082733
5091,42:51.0,16.57524,-18.34416
5291,37:46.0,25.92222,51.61137
4378,25:44.0,-29.20413,32.29693
5091,47:51.0,15.18309,-18.41652
5091,13:03.0,0.478262,-1.173672
5091,21:03.0,36.16498,-5.418169
5091,15:23.0,0.478242,-1.182067
5091,23:23.0,25.85199,-79.54063
4378,42:00.0,-29.25763,32.26635
5091,45:19.0,16.58431,-18.3437
5091,55:32.0,16.62059,-18.34178
5091,53:09.0,15.1646,-18.41747
4378,26:00.0,-5.617667,48.75367
5291,07:41.0,25.92225,51.6114
5091,58:25.0,16.63064,-18.34127
5091,58:00.0,0.478053,-1.553305
5091,01:20.0,16.64143,-18.34073
5091,27:43.0,25.84049,-79.54652
5091,59:48.0,15.14141,-18.41873
5091,03:29.0,16.64913,-18.34034
4378,46:25.0,-27.30875,33.887617
5091,58:01.0,16.62945,-18.34134
4378,48:00.0,-29.27058,32.24815
5091,45:04.0,16.369853,-18.354835
4378,28:38.0,25.35275,56.54187
5091,24:05.0,36.16498,-5.41817
5291,13:11.0,24.21487,122.6828
5091,52:43.0,0.478168,-1.53397
5091,06:59.0,16.66165,-18.33969
5291,01:41.0,25.92232,51.61135
5091,26:14.0,16.516513,-18.347252
5091,00:09.0,15.1403,-18.4188
